"Dato";"Kumulativt antall";"Nye tilfeller"
"2020-02-21";0;0
"2020-02-22";0;0
"2020-02-23";0;0
"2020-02-24";0;0
"2020-02-25";0;0
"2020-02-26";0;0
"2020-02-27";0;0
"2020-02-28";0;0
"2020-02-29";0;0
"2020-03-01";3;3
"2020-03-02";3;0
"2020-03-03";4;1
"2020-03-04";7;3
"2020-03-05";14;7
"2020-03-06";14;0
"2020-03-07";18;4
"2020-03-08";19;1
"2020-03-09";31;12
"2020-03-10";54;23
"2020-03-11";62;8
"2020-03-12";77;15
"2020-03-13";89;12
"2020-03-14";99;10
"2020-03-15";107;8
"2020-03-16";121;14
"2020-03-17";129;8
"2020-03-18";142;13
"2020-03-19";168;26
"2020-03-20";185;17
"2020-03-21";194;9
"2020-03-22";197;3
"2020-03-23";220;23
"2020-03-24";248;28
"2020-03-25";256;8
"2020-03-26";280;24
"2020-03-27";293;13
"2020-03-28";304;11
"2020-03-29";305;1
"2020-03-30";316;11
"2020-03-31";331;15
"2020-04-01";342;11
"2020-04-02";347;5
"2020-04-03";353;6
"2020-04-04";358;5
"2020-04-05";360;2
"2020-04-06";371;11
"2020-04-07";376;5
"2020-04-08";379;3
"2020-04-09";380;1
"2020-04-10";381;1
"2020-04-11";384;3
"2020-04-12";385;1
"2020-04-13";387;2
"2020-04-14";391;4
"2020-04-15";394;3
"2020-04-16";398;4
"2020-04-17";401;3
"2020-04-18";403;2
"2020-04-19";404;1
"2020-04-20";407;3
"2020-04-21";410;3
"2020-04-22";413;3
"2020-04-23";414;1
"2020-04-24";419;5
"2020-04-25";419;0
"2020-04-26";420;1
"2020-04-27";424;4
"2020-04-28";426;2
"2020-04-29";432;6
"2020-04-30";433;1
"2020-05-01";434;1
"2020-05-02";434;0
"2020-05-03";438;4
"2020-05-04";442;4
"2020-05-05";445;3
"2020-05-06";448;3
"2020-05-07";449;1
"2020-05-08";452;3
"2020-05-09";452;0
"2020-05-10";455;3
"2020-05-11";459;4
"2020-05-12";460;1
"2020-05-13";463;3
"2020-05-14";467;4
"2020-05-15";469;2
"2020-05-16";469;0
"2020-05-17";469;0
"2020-05-18";469;0
"2020-05-19";472;3
"2020-05-20";475;3
"2020-05-21";476;1
"2020-05-22";479;3
"2020-05-23";479;0
"2020-05-24";479;0
"2020-05-25";484;5
"2020-05-26";485;1
"2020-05-27";489;4
"2020-05-28";490;1
"2020-05-29";494;4
"2020-05-30";494;0
"2020-05-31";496;2
"2020-06-01";497;1
"2020-06-02";498;1
"2020-06-03";498;0
"2020-06-04";498;0
"2020-06-05";498;0
"2020-06-06";498;0
"2020-06-07";499;1
"2020-06-08";499;0
"2020-06-09";499;0
"2020-06-10";499;0
"2020-06-11";500;1
"2020-06-12";501;1
"2020-06-13";501;0
"2020-06-14";501;0
"2020-06-15";501;0
"2020-06-16";501;0
"2020-06-17";501;0
"2020-06-18";501;0
"2020-06-19";502;1
"2020-06-20";502;0
"2020-06-21";502;0
"2020-06-22";503;1
"2020-06-23";503;0
"2020-06-24";503;0
"2020-06-25";503;0
"2020-06-26";503;0
"2020-06-27";503;0
"2020-06-28";503;0
"2020-06-29";503;0
"2020-06-30";503;0
"2020-07-01";503;0
"2020-07-02";503;0
"2020-07-03";504;1
"2020-07-04";504;0
"2020-07-05";504;0
"2020-07-06";505;1
"2020-07-07";505;0
"2020-07-08";505;0
"2020-07-09";505;0
"2020-07-10";508;3
"2020-07-11";508;0
"2020-07-12";508;0
"2020-07-13";509;1
"2020-07-14";509;0
"2020-07-15";509;0
"2020-07-16";509;0
"2020-07-17";509;0
"2020-07-18";509;0
"2020-07-19";509;0
"2020-07-20";513;4
"2020-07-21";514;1
"2020-07-22";515;1
"2020-07-23";515;0
"2020-07-24";515;0
"2020-07-25";515;0
"2020-07-26";515;0
"2020-07-27";516;1
"2020-07-28";516;0
"2020-07-29";518;2
"2020-07-30";519;1
"2020-07-31";521;2
"2020-08-01";521;0
"2020-08-02";521;0
"2020-08-03";522;1
"2020-08-04";523;1
"2020-08-05";525;2
"2020-08-06";527;2
"2020-08-07";527;0
"2020-08-08";527;0
"2020-08-09";527;0
"2020-08-10";528;1
"2020-08-11";530;2
"2020-08-12";534;4
"2020-08-13";537;3
"2020-08-14";546;9
"2020-08-15";547;1
"2020-08-16";549;2
"2020-08-17";550;1
"2020-08-18";552;2
"2020-08-19";554;2
"2020-08-20";554;0
"2020-08-21";554;0
"2020-08-22";555;1
"2020-08-23";555;0
"2020-08-24";556;1
"2020-08-25";557;1
"2020-08-26";558;1
"2020-08-27";567;9
"2020-08-28";571;4
"2020-08-29";576;5
"2020-08-30";578;2
"2020-08-31";580;2
"2020-09-01";587;7
"2020-09-02";588;1
"2020-09-03";589;1
"2020-09-04";593;4
"2020-09-05";594;1
"2020-09-06";595;1
"2020-09-07";597;2
"2020-09-08";598;1
"2020-09-09";600;2
"2020-09-10";603;3
"2020-09-11";605;2
"2020-09-12";605;0
"2020-09-13";605;0
"2020-09-14";608;3
"2020-09-15";610;2
"2020-09-16";615;5
"2020-09-17";620;5
"2020-09-18";623;3
"2020-09-19";625;2
"2020-09-20";627;2
"2020-09-21";631;4
"2020-09-22";634;3
"2020-09-23";639;5
"2020-09-24";646;7
"2020-09-25";651;5
"2020-09-26";653;2
"2020-09-27";654;1
"2020-09-28";664;10
"2020-09-29";667;3
"2020-09-30";679;12
"2020-10-01";687;8
"2020-10-02";700;13
"2020-10-03";703;3
"2020-10-04";705;2
"2020-10-05";707;2
"2020-10-06";714;7
"2020-10-07";721;7
"2020-10-08";727;6
"2020-10-09";730;3
"2020-10-10";730;0
"2020-10-11";732;2
"2020-10-12";739;7
"2020-10-13";745;6
"2020-10-14";750;5
"2020-10-15";758;8
"2020-10-16";759;1
"2020-10-17";760;1
"2020-10-18";760;0
"2020-10-19";775;15
"2020-10-20";786;11
"2020-10-21";804;18
"2020-10-22";832;28
"2020-10-23";865;33
"2020-10-24";885;20
"2020-10-25";899;14
"2020-10-26";954;55
"2020-10-27";988;34
"2020-10-28";1027;39
"2020-10-29";1063;36
"2020-10-30";1102;39
"2020-10-31";1168;66
"2020-11-01";1176;8
"2020-11-02";1237;61
"2020-11-03";1277;40
"2020-11-04";1303;26
"2020-11-05";1325;22
"2020-11-06";1352;27
"2020-11-07";1360;8
"2020-11-08";1370;10
"2020-11-09";1389;19
"2020-11-10";1401;12
"2020-11-11";1429;28
"2020-11-12";1445;16
"2020-11-13";1459;14
"2020-11-14";1472;13
"2020-11-15";1480;8
"2020-11-16";1501;21
"2020-11-17";1517;16
"2020-11-18";1541;24
"2020-11-19";1557;16
"2020-11-20";1568;11
"2020-11-21";1580;12
"2020-11-22";1583;3
"2020-11-23";1626;43
"2020-11-24";1633;7
"2020-11-25";1656;23
"2020-11-26";1656;0
