"Dato";"Kumulativt antall";"Nye tilfeller"
"21.02.2020";0;0
"22.02.2020";0;0
"23.02.2020";0;0
"24.02.2020";0;0
"25.02.2020";0;0
"26.02.2020";0;0
"27.02.2020";0;0
"28.02.2020";0;0
"29.02.2020";0;0
"01.03.2020";0;0
"02.03.2020";0;0
"03.03.2020";0;0
"04.03.2020";2;2
"05.03.2020";2;0
"06.03.2020";2;0
"07.03.2020";2;0
"08.03.2020";2;0
"09.03.2020";6;4
"10.03.2020";7;1
"11.03.2020";10;3
"12.03.2020";18;8
"13.03.2020";21;3
"14.03.2020";22;1
"15.03.2020";23;1
"16.03.2020";32;9
"17.03.2020";35;3
"18.03.2020";40;5
"19.03.2020";50;10
"20.03.2020";57;7
"21.03.2020";63;6
"22.03.2020";65;2
"23.03.2020";72;7
"24.03.2020";78;6
"25.03.2020";85;7
"26.03.2020";95;10
"27.03.2020";99;4
"28.03.2020";101;2
"29.03.2020";106;5
"30.03.2020";111;5
"31.03.2020";113;2
"01.04.2020";114;1
"02.04.2020";116;2
"03.04.2020";119;3
"04.04.2020";119;0
"05.04.2020";119;0
"06.04.2020";120;1
"07.04.2020";121;1
"08.04.2020";121;0
"09.04.2020";121;0
"10.04.2020";122;1
"11.04.2020";123;1
"12.04.2020";123;0
"13.04.2020";123;0
"14.04.2020";123;0
"15.04.2020";124;1
"16.04.2020";124;0
"17.04.2020";125;1
"18.04.2020";125;0
"19.04.2020";125;0
"20.04.2020";127;2
"21.04.2020";127;0
"22.04.2020";127;0
"23.04.2020";127;0
"24.04.2020";127;0
"25.04.2020";128;1
"26.04.2020";129;1
"27.04.2020";130;1
"28.04.2020";130;0
"29.04.2020";130;0
"30.04.2020";131;1
"01.05.2020";131;0
"02.05.2020";131;0
"03.05.2020";131;0
"04.05.2020";131;0
"05.05.2020";132;1
"06.05.2020";132;0
"07.05.2020";132;0
"08.05.2020";132;0
"09.05.2020";133;1
"10.05.2020";136;3
"11.05.2020";136;0
"12.05.2020";137;1
"13.05.2020";137;0
"14.05.2020";137;0
"15.05.2020";138;1
"16.05.2020";138;0
"17.05.2020";138;0
"18.05.2020";138;0
"19.05.2020";138;0
"20.05.2020";138;0
"21.05.2020";138;0
"22.05.2020";138;0
"23.05.2020";138;0
"24.05.2020";138;0
"25.05.2020";138;0
"26.05.2020";140;2
"27.05.2020";140;0
"28.05.2020";144;4
"29.05.2020";150;6
"30.05.2020";150;0
"31.05.2020";150;0
"01.06.2020";150;0
"02.06.2020";150;0
"03.06.2020";150;0
"04.06.2020";150;0
"05.06.2020";150;0
"06.06.2020";150;0
"07.06.2020";150;0
"08.06.2020";151;1
"09.06.2020";151;0
"10.06.2020";151;0
"11.06.2020";152;1
"12.06.2020";152;0
"13.06.2020";153;1
"14.06.2020";153;0
"15.06.2020";153;0
"16.06.2020";153;0
"17.06.2020";153;0
"18.06.2020";153;0
"19.06.2020";153;0
"20.06.2020";153;0
"21.06.2020";153;0
"22.06.2020";153;0
"23.06.2020";155;2
"24.06.2020";155;0
"25.06.2020";156;1
"26.06.2020";159;3
"27.06.2020";159;0
"28.06.2020";159;0
"29.06.2020";159;0
"30.06.2020";159;0
"01.07.2020";159;0
"02.07.2020";159;0
"03.07.2020";159;0
"04.07.2020";159;0
"05.07.2020";160;1
"06.07.2020";160;0
"07.07.2020";160;0
"08.07.2020";160;0
"09.07.2020";160;0
"10.07.2020";160;0
"11.07.2020";160;0
"12.07.2020";160;0
"13.07.2020";160;0
"14.07.2020";160;0
"15.07.2020";160;0
"16.07.2020";160;0
"17.07.2020";160;0
"18.07.2020";160;0
"19.07.2020";160;0
"20.07.2020";160;0
"21.07.2020";160;0
"22.07.2020";160;0
"23.07.2020";160;0
"24.07.2020";160;0
"25.07.2020";160;0
"26.07.2020";160;0
"27.07.2020";160;0
"28.07.2020";160;0
"29.07.2020";160;0
"30.07.2020";160;0
"31.07.2020";160;0
"01.08.2020";161;1
"02.08.2020";161;0
"03.08.2020";161;0
"04.08.2020";161;0
"05.08.2020";163;2
"06.08.2020";165;2
"07.08.2020";166;1
"08.08.2020";166;0
"09.08.2020";166;0
"10.08.2020";168;2
"11.08.2020";169;1
"12.08.2020";170;1
"13.08.2020";172;2
"14.08.2020";172;0
"15.08.2020";172;0
"16.08.2020";172;0
"17.08.2020";173;1
"18.08.2020";175;2
"19.08.2020";175;0
"20.08.2020";176;1
"21.08.2020";177;1
"22.08.2020";178;1
"23.08.2020";178;0
"24.08.2020";181;3
"25.08.2020";181;0
"26.08.2020";182;1
"27.08.2020";182;0
"28.08.2020";183;1
"29.08.2020";184;1
"30.08.2020";185;1
"31.08.2020";188;3
"01.09.2020";189;1
"02.09.2020";189;0
"03.09.2020";189;0
"04.09.2020";189;0
"05.09.2020";191;2
"06.09.2020";191;0
"07.09.2020";193;2
"08.09.2020";193;0
"09.09.2020";194;1
"10.09.2020";195;1
"11.09.2020";195;0
"12.09.2020";195;0
"13.09.2020";195;0
"14.09.2020";197;2
"15.09.2020";200;3
"16.09.2020";201;1
"17.09.2020";202;1
"18.09.2020";204;2
"19.09.2020";204;0
"20.09.2020";204;0
"21.09.2020";204;0
"22.09.2020";204;0
"23.09.2020";206;2
"24.09.2020";206;0
"25.09.2020";208;2
"26.09.2020";210;2
"27.09.2020";211;1
"28.09.2020";216;5
"29.09.2020";231;15
"30.09.2020";241;10
"01.10.2020";251;10
"02.10.2020";258;7
"03.10.2020";270;12
"04.10.2020";271;1
"05.10.2020";284;13
"06.10.2020";291;7
"07.10.2020";297;6
"08.10.2020";301;4
"09.10.2020";304;3
"10.10.2020";307;3
"11.10.2020";307;0
"12.10.2020";316;9
"13.10.2020";323;7
"14.10.2020";325;2
"15.10.2020";326;1
"16.10.2020";332;6
"17.10.2020";333;1
"18.10.2020";334;1
"19.10.2020";341;7
"20.10.2020";346;5
"21.10.2020";357;11
"22.10.2020";368;11
"23.10.2020";375;7
"24.10.2020";379;4
"25.10.2020";382;3
"26.10.2020";405;23
"27.10.2020";410;5
"28.10.2020";436;26
"29.10.2020";448;12
"30.10.2020";461;13
"31.10.2020";462;1
"01.11.2020";465;3
"02.11.2020";480;15
"03.11.2020";490;10
"04.11.2020";497;7
"05.11.2020";504;7
"06.11.2020";508;4
"07.11.2020";509;1
"08.11.2020";509;0
"09.11.2020";511;2
